Entity,Code,Year,wat_sm_number_without
Ecuador,ECU,2017,5676610.022240868
Ecuador,ECU,2018,5741250.684004843
Ecuador,ECU,2019,5801088.902485161
Ecuador,ECU,2020,5852791.668719644
Estonia,EST,2000,89773.34360515072
Estonia,EST,2001,86792.35028609462
Estonia,EST,2002,83738.38509303817
Estonia,EST,2003,80667.22288130334
Estonia,EST,2004,77659.12192076806
Estonia,EST,2005,74761.87528643064
Estonia,EST,2006,71980.0448574239
Estonia,EST,2007,64412.80308811973
Estonia,EST,2008,62026.8301352763
Estonia,EST,2009,59668.11929066825
Estonia,EST,2010,57317.57971700658
Estonia,EST,2011,54965.21270308607
Estonia,EST,2012,52608.69865321974
Estonia,EST,2013,50838.47678630504
Estonia,EST,2014,51154.25111961229
Estonia,EST,2015,51540.77947428431
Estonia,EST,2016,54751.57621622352
Estonia,EST,2017,55077.5970774486
Estonia,EST,2018,55431.57295401299
Estonia,EST,2019,55753.67705537197
Estonia,EST,2020,56231.10550801342
Ethiopia,ETH,2000,62929724.72530849
Ethiopia,ETH,2001,64504416.179957755
Ethiopia,ETH,2002,66259409.07471504
Ethiopia,ETH,2003,68037914.37931655
Ethiopia,ETH,2004,69833360.82751395
Ethiopia,ETH,2005,71642050.79433276
Ethiopia,ETH,2006,73460733.54227851
Ethiopia,ETH,2007,75289531.5609975
Ethiopia,ETH,2008,77093410.5289068
Ethiopia,ETH,2009,78935943.87269862
Ethiopia,ETH,2010,80825861.37127388
Ethiopia,ETH,2011,82766720.15602456
Ethiopia,ETH,2012,84749324.49020915
Ethiopia,ETH,2013,86763783.50928727
Ethiopia,ETH,2014,88782223.58753933
Ethiopia,ETH,2015,90787886.82449427
Ethiopia,ETH,2016,92773529.35725836
Ethiopia,ETH,2017,94739816.27456857
Ethiopia,ETH,2018,96683731.56685309
Ethiopia,ETH,2019,98605354.04068781
Ethiopia,ETH,2020,100504133.78550127
Finland,FIN,2000,337678.1455563623
Finland,FIN,2001,315704.98747105384
Finland,FIN,2002,293643.56398132315
Finland,FIN,2003,271512.624781539
Finland,FIN,2004,249324.59613129852
Finland,FIN,2005,227077.45621036238
Finland,FIN,2006,204753.29805510456
